Order;Family;Genus;OTU;Sum
Cercomonadida;Cercomonadidae;Cercomonas;Otu253;2627
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu254;2608
Plasmodiophorida;S.nasturtii-lineage;Spongospora;Otu255;2603
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu256;2572
Euglyphida;Euglyphidae;Euglypha;Otu257;2563
Novel-Clade-12;NC12B_lineage;NC12B_lineage_X;Otu258;2550
Limnofilida;Limnofilidae;Limnofilidae_X;Otu259;2544
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu260;2531
Novel-Clade-12;NC12B_lineage;NC12B_lineage_X;Otu261;2524
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu262;2522
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu263;2516
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu264;2506
Glissomonadida;Allapsidae;Allapsidae_X;Otu265;2504
Cercomonadida;Cercomonadidae;Cercomonas;Otu266;2491
Glissomonadida;Sandonidae;Sandonidae_X;Otu267;2474
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu268;2461
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu269;2450
Cercomonadida;Cercomonadidae;Cercomonas;Otu270;2450
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu271;2449
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu272;2436
Glissomonadida;Sandonidae;Sandonidae_X;Otu273;2426
Filosa_X;Filosa_XX;Filosa_XXX;Otu274;2418
Glissomonadida;Sandonidae;Sandonidae_X;Otu275;2379
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu276;2373
Krakenida;Krakenidae;Kraken;Otu277;2371
Krakenida;Krakenidae;Kraken;Otu278;2368
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu279;2356
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu280;2354
Cryomonadida;Protaspididae;Protaspididae_X;Otu281;2347
Limnofilida;Limnofilidae;Limnofilidae_X;Otu282;2342
Glissomonadida;Sandonidae;Sandonidae_X;Otu283;2332
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu284;2327
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu285;2319
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu286;2317
Filosa_X;Filosa_XX;Filosa_XXX;Otu287;2316
Glissomonadida;Sandonidae;Sandonidae_X;Otu288;2305
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu289;2286
Cercomonadida;Cercomonadidae;Cercomonas;Otu290;2283
Euglyphida;Euglyphidae;Euglypha;Otu291;2269
Glissomonadida;Sandonidae;Sandonidae_X;Otu292;2267
Glissomonadida;Allapsidae;Allapsidae_X;Otu293;2262
Cercomonadida;Paracercomonadidae;Metabolomonas;Otu294;2261
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu295;2259
Glissomonadida;Allapsidae;Allapsidae_X;Otu296;2245
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu297;2245
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu298;2231
Glissomonadida;Sandonidae;Flectomonas;Otu299;2217
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu300;2217
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu301;2214
Thaumatomonadida;Thaumatomonadida_X;Thaumatomonadida_XX;Otu302;2205
Cercomonadida;Cercomonadidae;Cercomonas;Otu303;2181
Cercomonadida;Cercomonadidae;Cercomonas;Otu304;2144
Glissomonadida;Sandonidae;Sandona;Otu305;2133
Glissomonadida;Allapsidae;Allapsidae_X;Otu306;2132
Cercomonadida;Cercomonadidae;Cercomonas;Otu307;2124
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu308;2114
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu309;2107
Glissomonadida;Glissomonadida_XX;Glissomonadida_XXX;Otu310;2104
Glissomonadida;Allapsidae;Allapsidae_X;Otu311;2102
Euglyphida;Euglyphidae;Euglypha;Otu312;2090
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu313;2083
Limnofilida;Limnofilidae;Limnofilidae_X;Otu314;2073
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu315;2073
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu316;2059
Glissomonadida;Allapsidae;Allapsidae_X;Otu317;2058
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu318;2050
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu319;2038
Glissomonadida;Sandonidae;Sandonidae_X;Otu320;2035
Filosa-Granofilosea_X;Massiteriidae;Massisteria;Otu321;2030
Glissomonadida;Allapsidae;Group_Te;Otu322;2016
Glissomonadida;Allapsidae;Allapsidae_X;Otu323;2015
Glissomonadida;Sandonidae;Sandonidae_X;Otu324;2010
Cryomonadida;Protaspididae;Protaspididae_X;Otu325;2008
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu326;2008
Glissomonadida;Allapsidae;Group_Te;Otu327;1998
Cercomonadida;Cercomonadidae;Cercomonas;Otu328;1997
Glissomonadida;Dujardinidae;Dujardina;Otu329;1983
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu330;1972
