Order;Family;Genus;OTU;Sum
Glissomonadida;Sandonidae;Bodomorpha;Otu527;1060
Glissomonadida;Allapsidae;Allapsidae_X;Otu528;1055
Glissomonadida;Bodomorphidae;Bodomorpha;Otu529;1053
Krakenida;Krakenidae;Kraken;Otu530;1049
Glissomonadida;Sandonidae;Sandonidae_X;Otu531;1042
Euglyphida;Euglyphidae;Euglypha;Otu532;1041
Tremulida;Tremulidae;Tremula;Otu533;1040
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu534;1040
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu535;1039
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu536;1039
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu537;1038
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu538;1036
Filosa-Sarcomonadea_X;Filosa-Sarcomonadea_XX;Filosa-Sarcomonadea_XXX;Otu539;1031
Cercomonadida;Cercomonadidae;Cercomonas;Otu540;1029
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu541;1029
Glissomonadida;Sandonidae;Sandonidae_X;Otu542;1020
Filosa-Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Otu543;1019
Glissomonadida;Allapsidae;Allapsidae_X;Otu544;1018
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu545;1016
Cryomonadida;Protaspididae;Protaspididae_X;Otu546;1015
Filosa_X;Filosa_XX;Filosa_XXX;Otu547;1012
Glissomonadida;Sandonidae;Sandonidae_X;Otu548;1011
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu549;1011
Glissomonadida;Allapsidae;Allapsidae_X;Otu550;1011
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu551;1008
Glissomonadida;Sandonidae;Sandonidae_X;Otu552;1006
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu553;1003
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu554;1002
Glissomonadida;Allapsidae;Allapsidae_X;Otu555;1001
